Transaction_ID,Date,Month,Quarter,Region,Category,Product,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Revenue,Payment_Method,Salesperson_ID,Customer_ID
TXN00001,2024-03-12,March,Q1,North,Electronics,Laptop,60616.29,4,0,0.0,242465.16,Cash,SP003,CUST7912
TXN00002,2024-11-04,November,Q4,North,Electronics,Laptop,12027.14,4,10,4810.86,43297.7,Cash,SP007,CUST9928
TXN00003,2024-01-04,January,Q1,South,Food & Beverages,Protein Bar,728.89,5,20,728.89,2915.56,Net Banking,SP011,CUST5552
TXN00004,2024-02-17,February,Q1,West,Clothing,Jeans,4798.9,6,0,0.0,28793.4,Credit Card,SP012,CUST6635
TXN00005,2024-03-04,March,Q1,West,Sports & Outdoors,Running Shoes,24310.28,8,10,19448.22,175034.02,Credit Card,SP018,CUST5803
TXN00006,2024-12-04,December,Q4,South,Sports & Outdoors,Running Shoes,17531.89,2,0,0.0,35063.78,UPI,SP003,CUST4814
TXN00007,2024-07-08,July,Q3,East,Electronics,Headphones,25848.02,6,0,0.0,155088.12,Debit Card,SP009,CUST2169
TXN00008,2024-08-24,August,Q3,West,Sports & Outdoors,Dumbbells,16257.13,4,0,0.0,65028.52,UPI,SP018,CUST4598
TXN00009,2024-06-10,June,Q2,West,Furniture,Office Chair,12994.31,1,20,2598.86,10395.45,UPI,SP003,CUST4456
TXN00010,2024-11-25,November,Q4,West,Sports & Outdoors,Running Shoes,6772.48,8,5,2708.99,51470.85,Debit Card,SP009,CUST3287
TXN00011,2024-10-25,October,Q4,West,Clothing,Shoes,2833.19,10,5,1416.6,26915.3,UPI,SP008,CUST3266
TXN00012,2024-02-26,February,Q1,South,Sports & Outdoors,Bicycle,3181.83,1,20,636.37,2545.46,Debit Card,SP014,CUST2040
TXN00013,2024-05-08,May,Q2,Central,Food & Beverages,Snack Mix,934.24,8,10,747.39,6726.53,Credit Card,SP004,CUST9797
TXN00014,2024-08-20,August,Q3,North,Furniture,Bookshelf,7354.5,7,0,0.0,51481.5,UPI,SP017,CUST3927
TXN00015,2024-11-23,November,Q4,Central,Sports & Outdoors,Yoga Mat,26180.3,5,20,26180.3,104721.2,Cash,SP007,CUST3504
TXN00016,2024-11-02,November,Q4,East,Furniture,Desk,27890.19,9,0,0.0,251011.71,Net Banking,SP001,CUST2832
TXN00017,2024-02-10,February,Q1,North,Furniture,Bookshelf,13493.71,4,10,5397.48,48577.36,Net Banking,SP003,CUST9727
TXN00018,2024-05-15,May,Q2,Central,Clothing,Jeans,3400.83,9,0,0.0,30607.47,Cash,SP014,CUST4470
TXN00019,2024-11-28,November,Q4,East,Sports & Outdoors,Dumbbells,21531.99,7,15,22608.59,128115.34,Net Banking,SP017,CUST8397
TXN00020,2024-10-28,October,Q4,Central,Electronics,Smartphone,21852.3,6,0,0.0,131113.8,Debit Card,SP019,CUST4608
TXN00021,2024-02-04,February,Q1,North,Electronics,Laptop,58088.07,1,0,0.0,58088.07,UPI,SP003,CUST9423
TXN00022,2024-03-08,March,Q1,Central,Clothing,Jacket,3444.2,4,10,1377.68,12399.12,Cash,SP016,CUST4981
TXN00023,2024-08-08,August,Q3,East,Food & Beverages,Snack Mix,366.57,2,15,109.97,623.17,Net Banking,SP014,CUST8651
TXN00024,2024-02-25,February,Q1,South,Electronics,Laptop,9545.95,6,20,11455.14,45820.56,Debit Card,SP007,CUST9786
TXN00025,2024-05-07,May,Q2,North,Food & Beverages,Protein Bar,690.63,5,5,172.66,3280.49,Net Banking,SP018,CUST2604
TXN00026,2024-05-01,May,Q2,South,Electronics,Smart TV,67702.07,2,20,27080.83,108323.31,Net Banking,SP016,CUST8886
TXN00027,2024-01-02,January,Q1,West,Clothing,Dress,4541.48,3,5,681.22,12943.22,UPI,SP015,CUST5673
TXN00028,2024-04-07,April,Q2,East,Food & Beverages,Tea Set,1026.62,8,0,0.0,8212.96,Debit Card,SP002,CUST9883
TXN00029,2024-09-14,September,Q3,Central,Electronics,Tablet,9287.4,10,5,4643.7,88230.3,Debit Card,SP002,CUST9320
TXN00030,2024-04-30,April,Q2,West,Electronics,Smartphone,10139.1,2,15,3041.73,17236.47,Credit Card,SP019,CUST5033
TXN00031,2024-12-02,December,Q4,Central,Sports & Outdoors,Tent,1672.38,2,5,167.24,3177.52,Cash,SP017,CUST6183
TXN00032,2024-05-15,May,Q2,West,Furniture,Desk,34146.85,6,0,0.0,204881.1,Debit Card,SP010,CUST8491
TXN00033,2024-02-21,February,Q1,North,Furniture,Office Chair,2447.14,10,10,2447.14,22024.26,Cash,SP007,CUST9288
TXN00034,2024-07-08,July,Q3,East,Furniture,Desk,46796.45,2,0,0.0,93592.9,Debit Card,SP015,CUST9900
TXN00035,2024-12-07,December,Q4,Central,Furniture,Dining Table,49224.96,9,0,0.0,443024.64,UPI,SP004,CUST3200
TXN00036,2024-05-19,May,Q2,East,Furniture,Office Chair,44706.21,9,0,0.0,402355.89,Cash,SP007,CUST6617
TXN00037,2024-01-27,January,Q1,North,Clothing,Jacket,2675.42,5,20,2675.42,10701.68,Net Banking,SP009,CUST1722
TXN00038,2024-08-14,August,Q3,Central,Electronics,Tablet,62833.94,5,0,0.0,314169.7,Net Banking,SP018,CUST1158
TXN00039,2024-01-19,January,Q1,East,Electronics,Laptop,75878.82,3,10,22763.65,204872.81,Cash,SP018,CUST3426
TXN00040,2024-01-21,January,Q1,East,Food & Beverages,Protein Bar,158.56,6,20,190.27,761.09,Debit Card,SP008,CUST2684
TXN00041,2024-03-20,March,Q1,South,Furniture,Dining Table,44438.47,7,10,31106.93,279962.36,Debit Card,SP006,CUST7755
TXN00042,2024-07-29,July,Q3,South,Electronics,Smartphone,60242.34,6,20,72290.81,289163.23,UPI,SP006,CUST2771
TXN00043,2024-08-23,August,Q3,East,Food & Beverages,Coffee Pack,1302.03,4,0,0.0,5208.12,UPI,SP008,CUST4652
TXN00044,2024-02-05,February,Q1,East,Electronics,Smartphone,34884.95,5,20,34884.95,139539.8,UPI,SP017,CUST7548
TXN00045,2024-04-01,April,Q2,Central,Sports & Outdoors,Running Shoes,28207.5,2,0,0.0,56415.0,UPI,SP002,CUST2776
TXN00046,2024-11-06,November,Q4,Central,Sports & Outdoors,Bicycle,10697.77,6,5,3209.33,60977.29,Credit Card,SP013,CUST4114
TXN00047,2024-10-02,October,Q4,South,Furniture,Office Chair,36021.69,1,10,3602.17,32419.52,UPI,SP014,CUST2146
TXN00048,2024-06-02,June,Q2,Central,Furniture,Dining Table,17067.95,2,15,5120.39,29015.51,UPI,SP014,CUST6344
TXN00049,2024-12-06,December,Q4,West,Food & Beverages,Juice Box,876.18,4,5,175.24,3329.48,Debit Card,SP020,CUST5930
TXN00050,2024-04-17,April,Q2,West,Food & Beverages,Tea Set,1267.22,5,0,0.0,6336.1,Cash,SP020,CUST6279
TXN00051,2024-08-30,August,Q3,South,Food & Beverages,Snack Mix,719.02,4,10,287.61,2588.47,Credit Card,SP010,CUST9445
TXN00052,2024-06-07,June,Q2,South,Sports & Outdoors,Running Shoes,3254.92,4,15,1952.95,11066.73,Debit Card,SP005,CUST1400
TXN00053,2024-02-07,February,Q1,West,Electronics,Smartphone,78795.2,10,20,157590.4,630361.6,Net Banking,SP019,CUST4185
TXN00054,2024-12-18,December,Q4,North,Food & Beverages,Snack Mix,659.51,3,15,296.78,1681.75,Credit Card,SP014,CUST4585
TXN00055,2024-03-03,March,Q1,West,Clothing,Shoes,2483.38,9,0,0.0,22350.42,Debit Card,SP015,CUST9702
TXN00056,2024-09-15,September,Q3,West,Sports & Outdoors,Tent,9860.29,8,10,7888.23,70994.09,Cash,SP015,CUST3607
TXN00057,2024-11-22,November,Q4,East,Food & Beverages,Snack Mix,462.87,4,20,370.3,1481.18,Cash,SP016,CUST4919
TXN00058,2024-05-19,May,Q2,East,Furniture,Sofa,5719.2,5,0,0.0,28596.0,UPI,SP018,CUST2320
TXN00059,2024-04-19,April,Q2,North,Clothing,Jeans,1386.93,3,15,624.12,3536.67,Net Banking,SP014,CUST6421
TXN00060,2024-08-03,August,Q3,West,Sports & Outdoors,Bicycle,12765.34,4,20,10212.27,40849.09,Cash,SP001,CUST7232
TXN00061,2024-07-18,July,Q3,West,Food & Beverages,Coffee Pack,1419.84,5,20,1419.84,5679.36,Cash,SP018,CUST4613
TXN00062,2024-07-18,July,Q3,East,Food & Beverages,Protein Bar,482.11,8,0,0.0,3856.88,Net Banking,SP006,CUST8657
TXN00063,2024-10-15,October,Q4,North,Clothing,Shoes,2810.38,7,10,1967.27,17705.39,Credit Card,SP014,CUST3223
TXN00064,2024-04-18,April,Q2,West,Food & Beverages,Protein Bar,170.4,7,0,0.0,1192.8,UPI,SP011,CUST7211
TXN00065,2024-01-10,January,Q1,Central,Furniture,Sofa,14109.03,2,5,1410.9,26807.16,Credit Card,SP012,CUST4673
TXN00066,2024-01-11,January,Q1,Central,Electronics,Laptop,61567.49,4,0,0.0,246269.96,Debit Card,SP008,CUST3068
TXN00067,2024-12-24,December,Q4,East,Food & Beverages,Coffee Pack,889.56,4,5,177.91,3380.33,UPI,SP006,CUST2876
TXN00068,2024-10-21,October,Q4,West,Clothing,Jacket,808.06,1,0,0.0,808.06,Net Banking,SP007,CUST2245
TXN00069,2024-12-16,December,Q4,Central,Sports & Outdoors,Dumbbells,3506.09,5,20,3506.09,14024.36,Credit Card,SP019,CUST1672
TXN00070,2024-09-16,September,Q3,East,Furniture,Dining Table,22562.14,6,0,0.0,135372.84,Credit Card,SP014,CUST9031
TXN00071,2024-03-19,March,Q1,West,Electronics,Headphones,77059.07,8,15,92470.88,524001.68,Debit Card,SP017,CUST5425
TXN00072,2024-10-30,October,Q4,East,Sports & Outdoors,Tent,23351.92,8,5,9340.77,177474.59,UPI,SP008,CUST2419
TXN00073,2024-11-08,November,Q4,West,Furniture,Sofa,13705.45,8,10,10964.36,98679.24,UPI,SP001,CUST9098
TXN00074,2024-05-12,May,Q2,East,Furniture,Desk,25402.4,6,20,30482.88,121931.52,UPI,SP020,CUST5526
TXN00075,2024-05-03,May,Q2,West,Sports & Outdoors,Yoga Mat,15740.5,4,0,0.0,62962.0,Net Banking,SP018,CUST4937
TXN00076,2024-05-30,May,Q2,South,Food & Beverages,Snack Mix,727.44,1,0,0.0,727.44,Net Banking,SP008,CUST6016
TXN00077,2024-08-05,August,Q3,Central,Sports & Outdoors,Running Shoes,14461.18,9,0,0.0,130150.62,UPI,SP012,CUST8434
TXN00078,2024-04-08,April,Q2,East,Furniture,Bookshelf,14067.38,2,15,4220.21,23914.55,Credit Card,SP018,CUST4033
TXN00079,2024-10-28,October,Q4,Central,Clothing,Jeans,3771.44,5,15,2828.58,16028.62,Cash,SP010,CUST2647
TXN00080,2024-01-08,January,Q1,Central,Clothing,Jacket,1369.17,3,0,0.0,4107.51,Debit Card,SP009,CUST1745
TXN00081,2024-09-08,September,Q3,North,Electronics,Smart TV,26910.25,3,15,12109.61,68621.14,Credit Card,SP019,CUST5658
TXN00082,2024-05-09,May,Q2,West,Food & Beverages,Snack Mix,716.66,3,0,0.0,2149.98,Credit Card,SP003,CUST7565
TXN00083,2024-03-17,March,Q1,Central,Food & Beverages,Coffee Pack,907.83,1,0,0.0,907.83,UPI,SP003,CUST5066
TXN00084,2024-11-12,November,Q4,South,Electronics,Smart TV,62333.26,10,10,62333.26,560999.34,Cash,SP013,CUST8381
TXN00085,2024-10-18,October,Q4,Central,Food & Beverages,Juice Box,1304.23,7,0,0.0,9129.61,Credit Card,SP020,CUST2625
TXN00086,2024-05-02,May,Q2,South,Clothing,Jeans,1543.84,2,0,0.0,3087.68,Cash,SP003,CUST3564
TXN00087,2024-05-29,May,Q2,North,Electronics,Headphones,38787.78,10,5,19393.89,368483.91,Debit Card,SP010,CUST5632
TXN00088,2024-11-16,November,Q4,Central,Food & Beverages,Coffee Pack,1062.34,5,20,1062.34,4249.36,Debit Card,SP014,CUST2880
TXN00089,2024-03-13,March,Q1,North,Sports & Outdoors,Dumbbells,19605.22,5,20,19605.22,78420.88,Credit Card,SP006,CUST6039
TXN00090,2024-08-27,August,Q3,East,Sports & Outdoors,Tent,27675.18,8,0,0.0,221401.44,Net Banking,SP009,CUST9199
TXN00091,2024-08-09,August,Q3,East,Sports & Outdoors,Bicycle,13413.89,10,0,0.0,134138.9,Cash,SP009,CUST1423
TXN00092,2024-01-11,January,Q1,East,Electronics,Smartphone,77143.33,10,10,77143.33,694289.97,Cash,SP002,CUST3870
TXN00093,2024-10-26,October,Q4,West,Food & Beverages,Tea Set,1012.11,5,0,0.0,5060.55,Net Banking,SP003,CUST8700
TXN00094,2024-03-23,March,Q1,East,Furniture,Sofa,17998.8,2,20,7199.52,28798.08,Net Banking,SP016,CUST5722
